序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,603231,N索宝,28.46,33.68,7.17,312031.0,965440408.0,34.24,35.3,28.01,30.0,21.29,,66.52,34.32,2.93,5448926128.0,1334930473.0,-0.18,-0.49,33.68,33.68
2,872895,花溪科技,13.67,29.94,3.15,103676.0,129553625.08,32.22,13.67,10.28,10.28,10.52,3.4,55.74,96.48,3.53,772683080.0,254253798.0,0.29,0.29,135.28,26.93
3,872190,雷神科技,23.95,25.39,4.85,172586.0,371324713.51,28.01,24.55,19.2,19.71,19.1,1.53,32.85,64.92,2.87,2395000024.0,1258377643.0,-1.64,0.04,140.95,104.53
4,300781,因赛集团,49.82,19.99,8.3,352648.0,1624582459.04,23.46,49.82,40.08,41.8,41.52,1.32,43.48,125.2,8.07,5478695037.0,4040610497.0,0.0,0.04,158.0,187.48
5,835237,力佳科技,17.79,19.32,2.88,46906.0,83591606.41,30.52,19.3,14.75,14.78,14.91,5.67,13.64,22.07,2.12,914761800.0,611754301.0,0.06,-0.34,77.01,21.1
6,838227,美登科技,33.99,18.02,5.19,33284.0,103028789.9,26.7,35.49,27.8,29.0,28.8,1.77,31.59,30.68,3.32,1323621585.0,358175539.0,-0.03,-0.03,86.86,92.03
7,833873,中设咨询,4.78,15.18,0.63,310998.0,158200666.32,16.63,5.39,4.7,5.1,4.15,3.9,29.33,-41.77,1.76,733189870.0,506860087.0,0.0,1.49,57.76,46.63
8,836239,长虹能源,19.22,14.27,2.4,87551.0,162389807.52,25.74,20.5,16.17,16.22,16.82,2.56,17.61,-9.35,3.21,2499618718.0,955514304.0,0.0,-0.67,70.09,-14.84
9,301383,天键股份,53.37,13.53,6.36,91493.0,469408762.84,14.66,53.9,47.01,47.01,47.01,1.44,31.48,42.41,3.38,6203728800.0,1550932200.0,-0.37,0.04,42.62,15.62
10,301508,中机认检,39.2,12.97,4.5,247093.0,961814128.31,18.93,41.64,35.07,35.15,34.7,1.81,57.53,59.39,4.74,8862539840.0,1683780610.0,0.03,0.0,133.06,133.06
11,873693,阿为特,50.28,12.01,5.39,53122.0,262100955.37,16.66,52.5,45.02,45.02,44.89,2.4,26.17,135.25,11.41,3655356000.0,1020684000.0,0.02,0.02,690.57,690.57
12,831087,秋乐种业,11.64,11.49,1.2,150844.0,163924451.9,18.49,11.94,10.01,10.35,10.44,1.73,21.17,80.0,3.99,1922928000.0,829234764.0,-0.09,0.34,76.36,113.19
13,839790,联迪信息,11.09,10.57,1.06,70120.0,75214197.18,18.25,11.59,9.76,10.2,10.03,0.97,19.72,281.83,2.68,875744252.0,394271658.0,0.18,2.4,105.37,101.64
14,833429,康比特,12.01,10.39,1.13,63712.0,74303055.31,14.98,12.4,10.77,10.8,10.88,2.06,12.82,17.46,1.94,1495245000.0,596642388.0,0.08,0.17,55.57,74.06
15,600255,鑫科材料,2.27,10.19,0.21,932406.0,206836123.0,10.19,2.27,2.06,2.06,2.06,5.14,5.16,-87.62,2.93,4099953588.0,4099953588.0,0.0,0.0,9.66,-12.02
16,600234,科新发展,8.86,10.06,0.81,124806.0,104659745.0,10.31,8.86,8.03,8.1,8.05,1.39,6.16,-85.65,4.02,2325935821.0,1793670497.0,0.0,0.0,20.05,27.12
17,600725,云维股份,3.94,10.06,0.36,311496.0,122729239.0,0.0,3.94,3.94,3.94,3.58,1.7,2.53,21463.73,13.67,4855931800.0,4855931800.0,0.0,0.0,22.74,24.68
18,002591,恒大高新,7.99,10.06,0.73,390843.0,308918764.54,6.75,7.99,7.5,7.53,7.26,2.6,17.15,-227.22,3.41,2398593877.0,1821112528.0,0.0,0.0,24.07,6.53
19,002292,奥飞娱乐,10.41,10.04,0.95,1957930.0,1931488084.52,13.32,10.41,9.15,9.8,9.46,1.01,20.08,141.79,4.52,15393263846.0,10152838022.0,0.0,0.0,29.96,123.39
20,603106,恒银科技,8.66,10.04,0.79,588923.0,492123268.0,13.09,8.66,7.63,7.87,7.87,0.76,11.31,-53.65,3.2,4507703200.0,4507703200.0,0.0,0.0,20.11,68.16
21,600697,欧亚集团,14.8,10.04,1.35,136831.0,197113149.0,11.23,14.8,13.29,13.45,13.45,3.23,8.81,105.31,1.01,2354503510.0,2299565022.0,0.0,0.0,16.44,8.98
