,0
0,MSFT
1,AAPL
2,AMZN
3,NVDA
4,UNH
5,LLY
6,JPM
7,XOM
8,JNJ
9,PG
10,HD
11,ADBE
12,MRK
13,COST
14,CVX
15,PEP
16,WMT
17,KO
18,NFLX
19,ACN
20,BAC
21,MCD
22,LIN
23,CSCO
24,AMD
25,TMO
26,INTC
27,ORCL
28,CMCSA
29,ABT
30,DIS
31,PFE
32,INTU
33,WFC
34,VZ
35,AMGN
36,QCOM
37,IBM
38,TXN
39,DHR
40,COP
41,UNP
42,NKE
43,SPGI
44,AMAT
45,GE
46,HON
47,CAT
48,SBUX
49,LOW
50,BA
51,RTX
52,NEE
53,T
54,BKNG
55,GS
56,ELV
57,ISRG
58,UPS
59,BMY
60,DE
61,PLD
62,MS
63,TJX
64,BLK
65,LMT
66,MDT
67,SYK
68,MMC
69,MDLZ
70,ADP
71,PGR
72,LRCX
73,GILD
74,AMT
75,AXP
76,CB
77,ETN
78,ADI
79,VRTX
80,CVS
81,C
82,REGN
83,MU
84,CI
85,SCHW
86,SNPS
87,BSX
88,CME
89,FI
90,SO
91,KLAC
92,SLB
93,EQIX
94,CDNS
95,MO
96,EOG
97,DUK
98,BDX
99,AON
100,NOC
101,ITW
102,SHW
103,HUM
104,WM
105,CSX
106,CL
107,MCK
108,APD
109,TGT
110,FDX
111,ORLY
112,USB
113,ROP
114,MCO
115,GD
116,PH
117,PXD
118,APH
119,MSI
120,MMM
121,AJG
122,TT
123,PNC
124,MAR
125,FCX
126,EMR
127,AZO
128,WELL
129,CTAS
130,PCAR
131,NSC
132,ECL
133,ADSK
134,AIG
135,SRE
136,CCI
137,MCHP
138,AFL
139,VLO
140,CPRT
141,WMB
142,NEM
143,TFC
144,KMB
145,PSA
146,EW
147,MNST
148,ROST
149,COF
150,OXY
151,F
152,AEP
153,CNC
154,ADM
155,SPG
156,EXC
157,TRV
158,MET
159,D
160,HES
161,DHI
162,IDXX
163,NUE
164,STZ
165,OKE
166,GIS
167,O
168,PAYX
169,PCG
170,BK
171,YUM
172,SYY
173,ODFL
174,AME
175,GWW
176,JCI
177,ALL
178,LHX
179,FAST
180,CTSH
181,PRU
182,A
183,CSGP
184,HAL
185,BKR
186,XEL
187,BIIB
188,IT
189,EA
190,COR
191,RSG
192,DD
193,URI
194,LEN
195,FIS
196,PEG
197,PPG
198,CMI
199,ED
200,ROK
201,ACGL
202,ON
203,HSY
204,GPN
205,EL
206,MLM
207,DVN
208,VMC
209,KR
210,PWR
211,CAH
212,ANSS
213,WEC
214,FICO
215,SBAC
216,WTW
217,WST
218,EIX
219,EFX
220,TTWO
221,RCL
222,HPQ
223,AVB
224,DLTR
225,HIG
226,ZBH
227,WY
228,MTD
229,CHD
230,TSCO
231,STT
232,TROW
233,RMD
234,GLW
235,EBAY
236,DTE
237,MOH
238,ETR
239,NVR
240,WAB
241,MTB
242,STE
243,ES
244,CTRA
245,AEE
246,RJF
247,DOV
248,GPC
249,FE
250,PHM
251,PPL
252,IFF
253,EQR
254,DRI
255,VRSN
256,LH
257,FITB
258,GRMN
259,TDY
260,PTC
261,NDAQ
262,IRM
263,BAX
264,VTR
265,FDS
266,HOLX
267,CNP
268,EXPD
269,TYL
270,BRO
271,CLX
272,EG
273,STLD
274,AKAM
275,ATO
276,COO
277,CMS
278,J
279,MKC
280,BALL
281,NTAP
282,ARE
283,BG
284,PFG
285,CINF
286,WAT
287,AXON
288,HBAN
289,HUBB
290,NTRS
291,AVY
292,TXT
293,OMC
294,RF
295,DGX
296,MRO
297,ILMN
298,SWKS
299,WBA
300,CCL
301,IEX
302,WDC
303,STX
304,SNA
305,JBHT
306,EQT
307,ALGN
308,LUV
309,ALB
310,WRB
311,MAA
312,PKG
313,TER
314,SWK
315,TSN
316,K
317,ESS
318,POOL
319,MAS
320,CAG
321,BBY
322,NDSN
323,LNT
324,L
325,HST
326,MOS
327,LKQ
328,IP
329,IPG
330,EVRG
331,KIM
332,GEN
333,SJM
334,AES
335,KEY
336,MGM
337,JKHY
338,ZBRA
339,ROL
340,APA
341,TAP
342,VTRS
343,RVTY
344,TRMB
345,NI
346,PNR
347,GL
348,KMX
349,UDR
350,REG
351,TFX
352,INCY
353,EMN
354,CRL
355,TECH
356,FFIV
357,CHRW
358,HRL
359,AOS
360,CPT
361,PEAK
362,HSIC
363,MTCH
364,JNPR
365,RHI
366,UHS
367,WYNN
368,PNW
369,CPB
370,BWA
371,BXP
372,BEN
373,TPR
374,BBWI
375,FRT
376,FMC
377,BIO
378,XRAY
379,IVZ
380,WHR
381,CMA
382,HAS
383,VFC
384,ZION
385,DVA
386,RL
387,SEE
388,ALK
389,MHK
