,Anual_ret,std,calmar_ratio,sharp_ratio,z_score
OGD,0.1770234335886145,-0.0035358054030635495,0.26061818575134255,50.06594351466147,-0.37974966528793597
EG,0.24035998592062313,-0.005324657462874809,0.32628709325951066,45.140929270378194,-0.6914077675731233
RM,0.13653991761371387,-0.002922271321665026,0.23586499830085178,46.72390157663983,-0.28944043485185067
RM+,0.14244872081758841,-0.0028920516528143417,0.2580021093797993,49.25524780270342,-0.27258282828583713
EGlog,0.21050702963315526,-0.005093830925287742,0.27891672933931577,41.32587687355643,-0.6746375219510669
RMlog,0.16095888989409612,-0.003133749515899732,0.2676968444515511,51.36303622144578,-0.3057600528162159
RMpluslog,0.14744592219275665,-0.00298765372028967,0.2610796828522332,49.35174421032332,-0.28807575175479005
Meta OGD,1.802816911660737,-0.005143105145840627,3.3962900418539683,350.5308292440269,1.0532946840617172
meta EG,1.7736606672522082,-0.0054530940775204175,3.1258692242179666,325.257668772645,0.8839733022595342
meta RMP,1.5809138536967993,-0.0047939688741072475,3.072605524521887,329.77140553320834,0.9417480196383547
ons,1.8157063948482013,-0.006881668503050261,2.307305276112396,263.84682639731915,0.3526797989738986
up,0.14864615451359486,-0.00281137509522947,0.2910102625924846,52.87311350442978,-0.24194370021790212
SGP,0.19692766559709707,-0.003648458271077926,0.3071518429644381,53.97558392216869,-0.3776455946455648
SGp2,1.279687774799759,-0.005797631019343688,2.2947925865772723,220.72597765019964,0.28954751245078314
