,Anual_ret,std,calmar_ratio,sharp_ratio,z_score
OGD,0.13121764665534386,-0.002163344075677508,0.2717260314141842,60.65500542915237,0.32828872186264935
EG,0.03202226411671916,-0.004188101046074523,0.036540258666413784,7.646010390970245,-1.3009810375032238
RM,0.10750048195880568,-0.002185385357867462,0.23682881097293565,49.19062973118232,0.09221755539180858
RM+,0.1286117547759673,-0.0020944846041494676,0.28127945602800697,61.40496546079613,0.35387518860580247
EGlog,-0.014928791090690008,-0.005465464682194505,-0.0157251908020991,-2.731477003103745,-1.954998562541739
RMlog,0.1414621496618893,-0.0027673786097277843,0.2610170594600735,51.11774339970213,0.11599108929240187
RMpluslog,0.15005903081411587,-0.0024177812566625392,0.29280515743829494,62.06476719124483,0.37089004321007524
Meta OGD,0.15086220185220234,-0.0027670066281907674,0.25311550736964494,54.5218071815191,0.1719963142060674
meta EG,0.1673545912253085,-0.0025742256236412583,0.3310900708518245,65.01162512265897,0.4663483639556029
meta RMP,0.15652820821557145,-0.0026704505965944115,0.2720162903388408,58.61490507077334,0.275953917151403
ons,0.23673399978645082,-0.002306402652223398,0.8915323367674421,102.64209484767831,1.7803251527782233
up,0.12770559747578902,-0.001978001252135674,0.30721129911340006,64.5629507756396,0.4383106744724754
SGP,0.1457071241522332,-0.0026159086046942093,0.2581830384923725,55.700387961094634,0.20756445435756923
SGp2,0.012677207905292809,-0.0038224259935481218,0.012903266263312976,3.316534558599875,-1.3457818752391157
